area_type,location,size,total_sqft,bath,balcony,price
1,419,13,1056.0,2.0,1.0,39.07
2,317,19,2600.0,5.0,3.0,120.0
0,1179,16,1440.0,2.0,3.0,62.0
1,757,16,1521.0,3.0,1.0,95.0
1,716,13,1200.0,2.0,1.0,51.0
1,1252,13,1170.0,2.0,1.0,38.0
1,895,18,2732.0,4.0,1.5843757375501535,204.0
1,976,18,3300.0,4.0,1.5843757375501535,600.0
1,799,16,1310.0,3.0,1.0,63.25
2,434,24,1020.0,6.0,1.5843757375501535,370.0
1,1252,16,1800.0,2.0,2.0,70.0
2,1252,19,2785.0,5.0,3.0,295.0
1,72,13,1000.0,2.0,1.0,38.0
0,466,13,1100.0,2.0,2.0,40.0
2,1038,17,2250.0,3.0,2.0,148.0
1,837,13,1175.0,2.0,2.0,73.5
1,268,16,1180.0,3.0,2.0,48.0
1,972,16,1540.0,3.0,3.0,60.0
1,988,16,2770.0,4.0,2.0,290.0
1,788,13,1100.0,2.0,2.0,48.0
0,688,0,600.0,1.0,1.0,15.0
1,267,16,1755.0,3.0,1.0,122.0
2,1148,19,2800.0,5.0,2.0,380.0
1,236,16,1767.0,3.0,1.0,103.0
1,10,2,510.0,1.0,0.0,25.25
1,789,16,1250.0,3.0,2.0,56.0
1,417,13,660.0,1.0,1.0,23.1
0,1252,16,1610.0,3.0,2.0,81.0
1,987,13,1151.0,2.0,2.0,48.77
1,417,16,1025.0,2.0,1.0,47.0
1,1261,18,2475.0,4.0,0.0,186.0
1,268,16,1075.0,2.0,1.0,35.0
1,513,16,1760.0,2.0,2.0,123.0
1,972,16,1693.0,3.0,3.0,57.39
0,673,16,1925.0,3.0,1.5843757375501535,125.0
1,664,13,700.0,2.0,1.0,36.0
1,422,13,1070.0,2.0,1.0,45.5
1,731,16,1724.0,3.0,2.0,125.0
1,326,16,1290.0,2.0,2.0,56.12
0,1179,13,1143.0,2.0,2.0,45.0
0,833,13,1296.0,2.0,1.5843757375501535,81.0
1,1039,16,1254.0,3.0,2.0,38.0
1,437,0,600.0,1.0,0.0,38.0
2,1261,1,660.0,1.0,0.0,48.0
1,664,13,1330.74,2.0,2.0,91.79
2,494,28,600.0,9.0,1.5843757375501535,200.0
1,396,13,970.0,2.0,0.0,33.0
1,1252,13,1459.0,2.0,1.0,94.82
2,626,14,800.0,1.0,1.0,130.0
0,526,13,869.0,2.0,1.0,36.0
1,89,13,1270.0,2.0,1.0,50.0
1,252,16,1670.0,3.0,1.0,99.0
0,1252,16,2010.0,3.0,2.0,91.0
1,745,13,1185.0,2.0,2.0,75.0
1,1261,16,1600.0,2.0,3.0,75.0
1,232,13,1200.0,2.0,2.0,44.0
0,365,19,3210.0,2.6926096474673513,1.5843757375501535,192.0
1,988,13,1500.0,2.0,2.0,185.0
2,833,24,1407.0,4.0,1.0,150.0
1,468,13,840.0,2.0,2.0,45.0
2,1151,17,4395.0,3.0,2.0,240.0
1,437,13,845.0,2.0,1.0,55.0
2,1252,19,5700.0,5.0,3.0,650.0
0,1190,13,1160.0,2.0,2.0,44.0
0,269,28,3000.0,8.0,0.0,140.0
1,396,13,1100.0,2.0,1.0,62.0
1,484,13,1140.0,2.0,3.0,43.0
1,799,13,1220.0,2.0,1.0,57.0
2,371,28,1350.0,7.0,0.0,85.0
1,664,13,1005.0,2.0,1.0,36.68
2,407,17,500.0,3.0,2.0,100.0
1,232,13,1358.0,2.0,1.0,80.58
1,515,16,1569.0,3.0,1.0,101.0
1,506,13,1240.0,2.0,1.0,70.0
1,522,16,2089.0,3.0,2.0,140.0
1,715,13,1206.0,2.0,1.0,48.23
1,641,13,1150.0,2.0,3.0,40.0
0,335,16,2511.0,3.0,3.0,205.0
0,678,13,460.0,1.0,0.0,22.0
0,554,24,4400.0,6.0,3.0,250.0
1,699,16,1660.0,2.0,2.0,105.0
0,522,19,3203.5,2.6926096474673513,1.5843757375501535,224.5
1,1261,13,1326.0,2.0,2.0,78.0
1,443,16,1325.0,2.0,2.0,60.8
1,415,16,1499.0,5.0,2.0,102.0
0,515,24,3000.0,7.0,2.0,210.0
1,664,16,1665.0,3.0,2.0,88.0
1,358,13,708.0,2.0,2.0,37.0
1,670,13,1060.0,2.0,2.0,58.06
2,976,24,710.0,6.0,3.0,160.0
0,1033,13,1000.0,2.0,2.0,70.0
1,417,13,1000.0,2.0,1.0,28.88
1,7,16,1450.0,2.0,2.0,70.0
2,554,19,1200.0,4.0,2.0,155.0
1,1148,13,1296.0,2.0,3.0,80.0
1,402,16,1540.0,3.0,2.0,90.0
2,688,19,2894.0,4.0,1.0,245.0
1,1041,16,1330.0,2.0,1.0,48.0
0,373,13,1200.0,2.0,1.0,65.0
0,1131,17,1200.0,3.0,1.0,90.0
1,1267,16,2502.0,3.0,3.0,138.0
0,304,13,650.0,1.0,1.0,17.0
2,716,17,2400.0,2.0,1.0,150.0
1,475,13,1007.0,2.0,2.0,43.0
1,1065,13,1200.0,2.0,2.0,50.0
1,924,13,966.0,2.0,2.0,49.9
0,848,16,1630.0,2.0,1.0,98.0
0,976,16,1640.0,3.0,2.0,229.0
0,591,13,782.0,2.0,2.0,55.68
1,365,13,1260.0,2.0,2.0,66.78
1,744,16,1800.0,3.0,3.0,120.0
1,283,16,1413.0,2.0,2.0,75.0
1,1252,13,1116.0,2.0,1.0,51.91
1,417,16,1530.0,2.0,1.0,45.9
0,990,19,3700.0,4.0,1.0,225.0
0,1039,17,2497.0,3.0,2.0,140.0
1,688,16,1540.0,2.0,3.0,64.0
1,1148,16,1436.0,3.0,1.0,74.75
1,786,13,1100.0,2.0,2.0,75.0
2,522,14,276.0,3.0,3.0,23.0
1,1148,16,1427.0,3.0,2.0,120.0
1,98,16,2061.0,3.0,1.0,200.0
1,513,18,5611.5,4.0,0.0,477.0
0,1059,18,2650.0,4.0,2.0,150.0
1,365,16,1282.0,2.0,2.0,68.52
0,635,13,1050.0,2.0,1.0,34.0
0,737,16,1600.0,3.0,2.0,65.0
1,1187,13,945.0,2.0,1.0,54.0
1,535,13,1500.0,2.0,1.0,78.0
2,1236,26,950.0,7.0,0.0,115.0
0,924,16,1870.0,3.0,3.0,110.0
2,1038,17,1600.0,3.0,1.0,75.0
1,417,13,880.0,1.0,1.0,16.5
2,995,19,1200.0,4.0,0.0,210.0
1,722,16,1535.0,3.0,2.0,83.0
0,664,13,950.0,2.0,1.0,57.0
1,365,13,1360.0,2.0,1.0,65.0
1,74,13,1073.5,2.0,0.0,54.005
1,271,16,1280.0,3.0,1.0,50.4
1,305,16,1260.0,2.0,2.0,85.05
0,522,28,5000.0,8.0,1.5843757375501535,250.0
1,1261,21,3050.0,5.0,1.0,213.0
1,670,16,1563.05,3.0,1.0,105.0
1,554,13,1000.0,2.0,1.0,60.0
1,118,13,1167.0,2.0,1.0,43.76
1,1234,25,4000.0,7.0,2.0,225.0
1,716,16,1828.0,3.0,1.5843757375501535,110.0
1,690,13,890.0,2.0,1.0,35.0
1,222,16,1612.0,3.0,3.0,46.74
2,376,24,1034.0,5.0,1.5843757375501535,185.0
1,837,16,1710.0,4.0,2.0,91.31
1,665,13,957.0,2.0,1.0,58.0
1,5,16,1250.0,2.0,3.0,44.0
1,1034,16,2795.0,4.0,1.5843757375501535,235.0
1,549,13,1125.0,2.0,2.0,50.0
1,419,13,1020.0,2.0,1.0,30.6
1,641,13,1200.0,2.0,2.0,50.0
1,1148,16,1735.0,3.0,3.0,135.0
1,1148,16,2050.0,3.0,1.0,145.0
2,775,19,3750.0,4.0,0.0,760.0
0,1258,16,1350.0,2.0,3.0,48.0
1,536,13,1063.0,2.0,1.0,32.0
1,695,16,1904.0,3.0,1.0,150.0
0,1252,19,4200.0,4.0,2.0,420.0
1,955,16,2000.0,3.0,1.0,175.0
1,1038,13,1242.5,2.0,0.0,43.49
1,1146,16,1425.0,2.0,2.0,75.0
1,417,16,1500.0,2.0,1.0,64.5
0,417,13,1060.0,2.0,1.0,60.0
0,581,16,1470.0,2.0,2.0,70.0
1,718,23,1300.0,6.0,0.0,99.0
1,152,0,450.0,1.0,1.0,11.0
1,417,13,1152.0,2.0,1.0,64.5
1,417,16,1350.0,2.0,1.0,56.0
1,292,16,1550.0,3.0,3.0,65.0
2,287,17,1500.0,3.0,2.0,100.0
2,727,22,600.0,3.0,2.0,85.0
2,853,1,400.0,1.0,0.0,14.0
1,786,0,705.0,1.0,2.0,67.0
0,417,13,770.0,1.0,1.0,36.0
1,549,13,1242.0,2.0,3.0,51.0
1,514,16,1700.0,3.0,2.0,155.0
1,1148,16,2144.0,3.0,2.0,145.0
1,1222,16,1704.0,3.0,2.0,110.0
1,417,13,1070.0,2.0,1.0,52.0
2,75,17,1846.0,3.0,2.0,300.0
1,587,13,1340.0,2.0,2.0,55.7
0,417,13,1025.0,2.0,1.0,46.0
1,626,13,1277.5,2.0,0.0,56.8
1,799,13,1200.0,2.0,2.0,52.0
0,664,19,2250.0,4.0,1.0,110.0
1,922,16,1550.0,2.0,3.0,80.0
2,236,19,1200.0,5.0,1.5843757375501535,325.0
2,416,26,1800.0,7.0,1.0,250.0
1,799,13,1200.0,2.0,2.0,60.0
1,1261,13,1327.0,2.0,2.0,98.0
1,716,13,1186.0,2.0,2.0,58.0
0,768,17,1783.0,3.0,1.0,115.0
1,494,16,1400.0,3.0,2.0,56.0
1,851,13,980.0,2.0,1.0,48.0
1,415,13,1285.0,2.0,2.0,82.0
1,752,16,912.0,2.0,1.0,70.0
0,1252,13,1225.0,2.0,2.0,47.6
1,1252,13,1075.0,2.0,1.0,53.0
0,635,16,1260.0,2.0,2.0,54.0
1,1261,16,1282.0,2.0,2.0,48.7
1,707,16,1909.0,3.0,2.0,88.0
1,914,13,1359.0,2.0,1.0,87.0
0,856,13,1207.0,2.0,2.0,43.5
2,907,19,1736.0,6.0,0.0,190.0
1,27,18,2850.0,4.0,1.0,428.0
1,654,16,1595.0,3.0,2.0,65.0
0,892,16,1798.0,3.0,2.0,89.0
1,422,16,1475.0,3.0,2.0,78.29
1,1140,16,1580.0,3.0,3.0,100.0
1,360,13,1295.0,2.0,1.0,65.0
0,772,24,3600.0,6.0,0.0,141.0
1,417,0,589.0,1.0,1.0,27.0
1,883,16,1415.0,3.0,3.0,78.0
1,1039,16,1787.0,3.0,2.0,98.29
1,1039,16,1787.0,3.0,2.0,125.0
1,713,16,1475.0,2.0,3.0,90.0
0,746,18,2000.0,4.0,1.0,75.5
1,1039,13,984.0,2.0,1.0,44.28
1,365,16,1630.0,2.6926096474673513,1.5843757375501535,74.82
1,834,16,2405.0,4.0,2.0,260.0
0,72,13,1080.0,2.0,2.0,72.0
2,1065,14,1500.0,2.0,1.0,115.0
1,513,16,1900.0,3.0,2.0,119.0
1,404,13,805.0,2.0,1.0,22.14
1,278,13,1153.0,2.0,2.0,56.4
1,383,13,1148.0,2.0,2.0,60.0
1,836,13,1110.0,2.0,2.0,55.0
0,417,13,1100.0,2.0,2.0,42.0
1,646,13,1290.0,2.0,2.0,110.0
1,408,16,1500.0,2.0,1.0,65.0
1,214,13,1080.0,2.0,2.0,39.0
1,1222,16,1933.0,3.0,1.0,129.0
0,990,22,3500.0,5.0,2.0,150.0
0,724,13,1060.0,2.0,2.0,60.0
1,304,0,645.0,1.0,1.0,16.45
2,828,28,2600.0,8.0,2.0,180.0
1,304,0,645.0,1.0,1.0,16.45
1,147,16,1644.0,3.0,3.0,84.0
1,872,13,1285.0,2.0,3.0,72.5
2,417,17,1200.0,3.0,1.0,90.0
1,417,13,910.0,2.0,1.0,40.0
